username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;imagelinks
Stylitz;2014-10-08 23:56;0;0;"Let's take a (bad) selfie. Davina, me & Ceri's chin. #liveatatheapollo #comedy #laughs #badselfie pic.twitter.com/LcboU2850H";;;#liveatatheapollo #comedy #laughs #badselfie;"519916745205637120";https://twitter.com/Stylitz/status/519916745205637120;https://pbs.twimg.com/media/BzcdhmMCIAASuKt.jpg 
piercethelarina;2014-10-08 09:41;0;1;"I uploaded this pic on a website This is me..... #badselfie pic.twitter.com/Xdbo6P9j2i";;;#badselfie;"519701667684438016";https://twitter.com/piercethelarina/status/519701667684438016;https://pbs.twimg.com/media/BzZZ5XBCQAEHS1I.jpg 
sharleegunther;2014-10-08 03:57;0;0;"I got my braces off and I look so bad. #ugh #badselfie pic.twitter.com/yrQGbwt8Bq";;;#ugh #badselfie;"519615041323024384";https://twitter.com/sharleegunther/status/519615041323024384;https://pbs.twimg.com/media/BzYLH_YCQAAs2n9.jpg 
shanenews;2014-10-07 01:14;0;3;"I can't stress this enough: Please think before you Tweet! #dontsmileforebola #badselfie pic.twitter.com/l4nqrOpg60";;;#dontsmileforebola #badselfie;"519211578315784192";https://twitter.com/shanenews/status/519211578315784192;https://pbs.twimg.com/media/BzScLccCQAEh-5B.jpg 
FishermanPoolie;2014-10-06 20:30;0;0;"The little tinker that saved me from a blank over the weekend #badselfie pic.twitter.com/yCnCePywTB";;;#badselfie;"519140151738789889";https://twitter.com/FishermanPoolie/status/519140151738789889;https://pbs.twimg.com/media/BzRbN1HIUAIqvld.jpg 
tommyshrive;2014-10-06 02:38;3;7;"Bored waiting for Josh #badselfie #gonewrong pic.twitter.com/x9loDhLhY6";;;#badselfie #gonewrong;"518870420192526337";https://twitter.com/tommyshrive/status/518870420192526337;https://pbs.twimg.com/media/BzNl5JuCMAEPOWz.jpg https://pbs.twimg.com/media/BzNl5JYCEAAuDvq.jpg 
sheepneedfeed;2014-10-05 10:44;0;1;"@Zaysmallman #badselfie of me smoking a cigar. The "cigar man" sells them @CoyoteLogistics in #CHA once a month. pic.twitter.com/yiY77IlvW8";;@Zaysmallman @CoyoteLogistics;#badselfie #CHA;"518630181830144000";https://twitter.com/sheepneedfeed/status/518630181830144000;https://pbs.twimg.com/media/BzKLZu7IAAM81f4.jpg 
LIPSappTurntUp;2014-10-04 13:52;0;0;"Before Ed Sheeran #selfie #concert #edsheeran #badselfie #blackandwhite by caseymaloney_ pic.twitter.com/nQtz6BFv42";;;#selfie #concert #edsheeran #badselfie #blackandwhite;"518315159635623936";https://twitter.com/LIPSappTurntUp/status/518315159635623936;https://pbs.twimg.com/media/BzFs5DIIQAAyGRX.jpg 
superxtarphlex;2014-10-03 16:19;3;3;"@ReggieRockstone #selfie Friday @Kluther41 #BadSelfie #Dc pic.twitter.com/HJEU8sMjvu";;@ReggieRockstone @Kluther41;#selfie #BadSelfie #Dc;"517989704747479040";https://twitter.com/superxtarphlex/status/517989704747479040;https://pbs.twimg.com/media/BzBE4-1IMAA2TDR.jpg 
Im_Aphantomhive;2014-10-02 20:39;0;0;"Can I be photogenic pls. #ugh #help #badselfie #selfie #yesteday #blackandwhite pic.twitter.com/yJHAW3AdtO";;;#ugh #help #badselfie #selfie #yesteday #blackandwhite;"517692860766752769";https://twitter.com/Im_Aphantomhive/status/517692860766752769;https://pbs.twimg.com/media/By826a2CcAA6rZr.jpg 
madhatternews;2014-10-01 01:14;0;0;"Maybe @eonline the @amandabynes is hanging out with @britneyspears #BadSelfie pic.twitter.com/Rgsnb3O1VP";;@eonline @amandabynes @britneyspears;#BadSelfie;"517037377122889730";https://twitter.com/madhatternews/status/517037377122889730;https://pbs.twimg.com/media/ByziwMhCQAEvJQw.jpg 
Snottyfoot;2014-09-30 22:01;0;0;"In honor of book 2 being released to the Kindle world, I give you #oldselfie #badselfie #selfie #70'selfie pic.twitter.com/qgpntisXMa";;;#oldselfie #badselfie #selfie #70;"516988763050737664";https://twitter.com/Snottyfoot/status/516988763050737664;https://pbs.twimg.com/media/Byy2ijdCYAAHYqI.jpg 
RuachJ;2014-09-29 23:21;0;4;"#THISISADPR #Unl_CoJMC #BadSelfie pic.twitter.com/aJZqSnxiXJ";;;#THISISADPR #Unl_CoJMC #BadSelfie;"516646546373234688";https://twitter.com/RuachJ/status/516646546373234688;https://pbs.twimg.com/media/Byt_SW_CcAAHQv3.jpg 
MLambforlife;2014-09-29 00:00;0;1;"Looking bad today. #lazyday #badselfie #selfiesunday #fishtailbraidsforlife pic.twitter.com/kNbcZVfvrl";;;#lazyday #badselfie #selfiesunday #fishtailbraidsforlife;"516293939687464960";https://twitter.com/MLambforlife/status/516293939687464960;https://pbs.twimg.com/media/Byo-mjzCEAAateE.jpg 
MichaelBuchanon;2014-09-27 22:13;0;1;"Just met Cherami friggin Leigh at A.W.A. Her Derp game is STRONG. @CheramiLeigh #badselfie #Derp #AWA pic.twitter.com/o3CVnEA5oZ";;@CheramiLeigh;#badselfie #Derp #AWA;"515904547190231040";https://twitter.com/MichaelBuchanon/status/515904547190231040;https://pbs.twimg.com/media/ByjccSSCcAATOii.jpg 
stepherhowell;2014-09-24 03:27;1;6;"#badselfie Boo!!! @chelibreaux @jones7178 @KlingerJulie #WTL pic.twitter.com/7VFHwJ067J";;@chelibreaux @jones7178 @KlingerJulie;#badselfie #WTL;"514533929865719810";https://twitter.com/stepherhowell/status/514533929865719810;https://pbs.twimg.com/media/ByP94dKIcAEwXo7.jpg 
nohomohemmo19;2014-09-23 06:32;0;0;"Be jealous @Michael5SOS #badselfie pic.twitter.com/cxMDMdTfaD";;@Michael5SOS;#badselfie;"514218333416460289";https://twitter.com/nohomohemmo19/status/514218333416460289;https://pbs.twimg.com/media/ByLe2WJCMAAkKFS.jpg 
MikeAlva909;2014-09-20 04:33;0;0;"Non-average #fauxhawk just the way I like it #badselfie pic.twitter.com/p71WOpNobK";;;#fauxhawk #badselfie;"513101069241417728";https://twitter.com/MikeAlva909/status/513101069241417728;https://pbs.twimg.com/media/Bx7msulCUAAcefy.jpg 
_melissa_2580_;2014-09-19 18:32;0;0;"Really for school #badselfie pic.twitter.com/QjG09Y5Acl";;;#badselfie;"512949733862551553";https://twitter.com/_melissa_2580_/status/512949733862551553;https://pbs.twimg.com/media/Bx5dEGXCAAE1KqZ.jpg 
fantomesesh;2014-09-17 20:05;0;1;"squad #BadSelfie #BadFrontCamera pic.twitter.com/5GqA0AyFas";;;#BadSelfie #BadFrontCamera;"512248483206942720";https://twitter.com/fantomesesh/status/512248483206942720;https://pbs.twimg.com/media/BxvfRzOIAAAF5UU.jpg 
FollowerHelp000;2014-09-15 20:09;0;2;"Finally back from school x -Tia #badselfie pic.twitter.com/dkeNrZFqBp";;;#badselfie;"511524788314341376";https://twitter.com/FollowerHelp000/status/511524788314341376;https://pbs.twimg.com/media/BxlNFUkIEAAB0C-.jpg 
